Local Beam Search:  Max Values and Steps, f1 , Step Size 0.01, Beam Size 2
Max Vals Mean = 1.99998142866
Max Vals Std = 1.57452148488e-05
Num of Steps Mean = 284.67
Num of Steps Std = 183.110243023

2.998197100306368      896
2.998379603455514      611
2.998061229294442      1020
2.9963130261072015      1178
2.9978259315247895      700
2.9946960247454495      246
2.9992191443193903      1155
2.999360310491012      972
2.9936430386170616      311
2.9964134339303925      302
2.998770483339524      1128
2.996859485180619      471
2.9955559175784305      333
2.999579847380577      1076
2.9957855356249414      439
2.996991368294683      1192
2.9979702281754097      756
2.9984275895205026      920
2.9942776338812336      822
2.998407380386725      1093
2.9985574028381716      582
2.994699100267356      1005
2.9985058976653036      898
2.9968506994600697      517
2.9954208960394357      863
2.993483439405728      1037
2.997623003385964      611
2.99717338890006      1114
2.993841564947097      250
2.994743537646481      228
2.9964687841674813      815
2.9983250607397336      470
2.9970330950919855      591
2.996248589875492      281
2.996815126220648      750
2.996184472345629      455
2.9976242608738524      420
2.9955014041860144      783
2.99713401288205      520
2.995395645091315      470
2.996715696607393      668
2.9983260276136114      1011
2.9974880716158188      631
2.9989187787711495      363
2.996705547525802      710
2.994533384994865      481
2.9997935225126895      897
2.995437658355802      683
2.9948534739305197      791
2.9974763255049224      379
2.9976855889206155      380
2.9970412108053504      726
2.996468305878482      243
2.9985748193479598      1065
2.9963536417000016      573
2.9957991447615346      632
2.9969287102882194      1064
2.9976315213652964      725
2.9983020569413457      701
2.99582322281402      367
2.9949757583652756      434
2.996366587946811      1122
-------------------------------------

Local Beam Search:  Max Values and Steps, f1 , Step Size 0.01, Beam Size 8
Max Vals Mean = 1.99998241483
Max Vals Std = 1.54285853596e-05
Num of Steps Mean = 275.01
Num of Steps Std = 183.020681618

1.9999917579044977      150
1.9999577567990015      206
1.9999845209555873      274
1.9999961545212088      584
1.9999671347298222      153
1.9999872982228752      183
1.999987942009209      282
1.99995382717391      443
1.9999922994548156      278
1.999982642853897      540
1.999987096612823      619
1.9999673595446221      52
1.9999978956954263      50
1.9999999754487936      78
1.999980807006704      61
1.9999954024868416      592
1.9999911329323536      624
1.9999720211947927      234
1.9999909762077008      229
1.9999781434284931      294
1.9999500334798115      96
1.9999661549359526      329
1.9999897370078918      246
1.999999095840606      153
1.9999969456903877      65
1.9999824326257873      562
1.9999866163094295      230
1.9999676714182257      239
1.9999891459613948      25
1.9999882200680745      309
1.9999976905188896      147
1.999986151638026      405
1.9999995098013938      221
1.9999848279485333      215
1.9999991113628068      196
1.999973439229377      471
1.9999683358903597      557
1.999969298029017      578
1.9999961737434322      627
1.9999747460218098      123
1.9999678353604644      369
1.999954165719487      48
1.9999657428876838      491
1.9999568742935938      18
1.9999534080206898      219
1.9999501437317457      419
1.9999825858072746      108
1.9999702031218924      151
1.9999971625512358      74
1.9999981057971628      466
1.999999011690364      104
1.9999663529351135      95
1.9999919311063405      611
1.9999976462008187      53
1.9999777995312935      137
1.999953621360654      602
1.9999671405549717      396
1.9999683085777449      597
1.999983195218887      147
1.9999745876587556      580
1.9999928030091851      96
1.9999752930203076      178
1.9999658168847692      81
1.9999691714007195      269
1.9999713289022696      183
1.9999988594014995      121
1.9999904579054726      434
1.99999283587645      404
1.9999968397331345      521
1.999989023679583      285
1.999991628172304      308
1.9999960922806719      65
1.9999612994378704      90
1.9999693008196342      561
1.9999976045793963      207
1.999991275610733      160
1.9999521732708467      178
1.9999891684150044      520
1.9999999918314342      173
1.9999986375363623      94
1.999995607745442      107
1.9999982982025335      430
1.999997562774841      392
1.9999978281584823      99
1.9999976563812307      166
1.9999569281261094      64
1.9999988758248888      455
1.9999990139653456      586
1.999999543782852      310
1.9999951649692076      608
1.9999973432815241      155
1.9999507435186374      114
1.9999961757749283      358
1.9999864656557964      133
1.9999989086815564      113
1.9999750251172144      199
1.9999642264021251      97
1.9999981223544276      336
1.9999542205311347      209
1.9999908647585052      237
  

Local Beam Search: Max Values and Steps, f2 , Step Size 0.01, Beam Size 8
Max Vals Mean = 2.99641857993
Max Vals Std = 0.00159090246889
Num of Steps Mean = 740.17
Num of Steps Std = 251.720005363

2.9979236938404332      548
2.9940109028667576      791
2.9945706336255915      540
2.996774317653008      429
2.996326041917005      690
2.9942396582099784      662
2.996175146674769      646
2.9950755474444914      609
2.9961996803541693      865
2.9949464762878826      616
2.9971249897054135      436
2.9975112876402026      584
2.9983456817875127      451
2.9953737203506376      990
2.994521785030977      1022
2.993979869956495      320
2.9981493177869107      833
